Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
21_07_2022,00:14:15,1013.0,23.5,27.6,24.0,96.0,72.0,0.0,0.0,0.0,2.4,167.0,1.6,12.7
21_07_2022,00:14:17,1013.0,23.5,27.6,24.0,96.0,72.0,0.0,0.0,0.0,2.4,167.0,1.6,12.7
21_07_2022,00:14:19,1013.0,23.5,27.6,24.0,96.0,72.0,0.0,0.0,0.0,2.4,182.0,1.6,12.7
21_07_2022,00:14:21,1013.0,23.5,27.6,24.0,96.0,72.0,0.0,0.0,0.0,2.4,182.0,1.6,12.7
21_07_2022,00:14:23,1013.0,23.5,27.6,24.0,96.0,72.0,0.0,0.0,0.0,2.4,182.0,1.6,12.7
21_07_2022,00:14:25,1012.9,23.5,27.6,23.9,96.0,72.0,0.0,0.0,0.0,2.5,143.0,1.6,12.7
21_07_2022,00:14:27,1012.9,23.5,27.6,23.9,96.0,72.0,0.0,0.0,0.0,2.5,143.0,1.6,12.7
21_07_2022,00:14:29,1012.9,23.5,27.6,23.9,96.0,72.0,0.0,0.0,0.0,1.5,146.0,1.6,12.7
21_07_2022,00:14:31,1012.9,23.5,27.6,23.9,96.0,72.0,0.0,0.0,0.0,1.5,146.0,1.6,12.7
21_07_2022,00:14:33,1012.9,23.5,27.6,23.9,96.0,72.0,0.0,0.0,0.0,1.5,146.0,1.6,12.7
21_07_2022,00:14:35,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,1.3,206.0,1.6,12.7
21_07_2022,00:14:37,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,1.3,206.0,1.6,12.7
21_07_2022,00:14:39,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,1.2,128.0,1.6,12.7
21_07_2022,00:14:41,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,1.2,128.0,1.6,12.7
21_07_2022,00:14:43,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,1.2,128.0,1.6,12.7
21_07_2022,00:14:45,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,1.1,140.0,1.6,12.7
21_07_2022,00:14:47,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,1.1,140.0,1.6,12.7
21_07_2022,00:14:49,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,0.4,188.0,1.8,12.7
21_07_2022,00:14:51,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,0.4,188.0,1.8,12.7
21_07_2022,00:14:53,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,0.4,188.0,1.8,12.7
21_07_2022,00:14:55,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,0.3,278.0,1.8,12.7
21_07_2022,00:14:57,1012.9,23.5,27.6,23.9,97.0,73.0,0.0,0.0,0.0,0.3,278.0,1.8,12.7
