Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
28_06_2022,01:16:24,1013.5,23.2,26.8,23.5,90.0,72.0,0.0,0.0,0.0,0.7,254.0,0.0,12.6
28_06_2022,01:16:27,1013.5,23.2,26.8,23.5,90.0,72.0,0.0,0.0,0.0,0.7,254.0,0.0,12.6
28_06_2022,01:22:34,1013.6,23.3,26.8,23.4,89.0,72.0,0.0,0.0,0.0,2.1,163.0,0.0,12.6
28_06_2022,01:26:44,1013.5,23.2,26.8,23.4,89.0,72.0,0.0,0.0,0.0,2.2,227.0,0.0,12.6
28_06_2022,01:26:47,1013.5,23.2,26.8,23.4,89.0,72.0,0.0,0.0,0.0,2.2,227.0,0.0,12.6
28_06_2022,03:16:56,1013.0,23.0,26.5,23.6,91.0,72.0,0.0,0.0,0.0,0.0,300.0,0.0,12.6
28_06_2022,03:16:59,1013.0,23.0,26.5,23.6,91.0,72.0,0.0,0.0,0.0,0.0,150.0,0.0,12.6
28_06_2022,03:23:06,1013.1,23.0,26.5,23.5,91.0,72.0,0.0,0.0,0.0,0.7,184.0,0.0,12.6
28_06_2022,03:27:16,1013.1,22.9,26.5,23.5,91.0,72.0,0.0,0.0,0.0,0.8,234.0,0.0,12.6
28_06_2022,03:27:19,1013.1,22.9,26.5,23.5,91.0,72.0,0.0,0.0,0.0,0.6,313.0,0.0,12.6
28_06_2022,05:17:27,1013.6,22.7,26.3,23.2,92.0,72.0,0.0,0.0,0.0,1.0,257.0,0.0,12.6
28_06_2022,05:22:28,1013.7,22.6,26.3,23.1,92.0,72.0,0.0,0.0,0.0,0.7,207.0,0.0,12.6
28_06_2022,05:22:31,1013.7,22.6,26.3,23.1,92.0,72.0,0.0,0.0,0.0,0.8,225.0,0.0,12.6
28_06_2022,05:27:44,1013.8,22.6,26.3,23.0,92.0,72.0,0.0,3.0,0.0,0.4,232.0,0.0,12.6
28_06_2022,05:27:47,1013.8,22.6,26.3,23.0,92.0,72.0,0.0,3.0,0.0,0.4,232.0,0.0,12.6
28_06_2022,05:32:48,1013.7,22.6,26.3,23.1,92.0,72.0,2.0,50.0,3.0,1.0,248.0,0.0,12.6
28_06_2022,08:33:00,1015.6,26.1,26.0,27.4,80.0,68.0,406.0,54346.0,3261.0,0.9,193.0,0.0,13.3
28_06_2022,08:38:01,1015.6,26.3,26.0,27.5,80.0,67.0,396.0,67982.0,4079.0,1.5,203.0,0.0,13.3
28_06_2022,08:38:04,1015.6,26.3,26.0,27.5,80.0,67.0,372.0,68354.0,4101.0,1.8,227.0,0.0,13.2
28_06_2022,08:48:21,1015.6,26.4,26.0,27.8,80.0,67.0,490.0,86229.0,5174.0,0.0,188.0,0.0,13.3
