Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
02_07_2022,00:02:25,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,159.0,0.0,12.7
02_07_2022,00:02:27,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,159.0,0.0,12.7
02_07_2022,00:02:29,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.6,204.0,0.0,12.7
02_07_2022,00:02:31,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.6,204.0,0.0,12.7
02_07_2022,00:02:33,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,222.0,0.0,12.7
02_07_2022,00:02:35,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,222.0,0.0,12.7
02_07_2022,00:02:37,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,222.0,0.0,12.7
02_07_2022,00:02:39,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,229.0,0.0,12.7
02_07_2022,00:02:41,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,229.0,0.0,12.7
02_07_2022,00:02:42,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,229.0,0.0,12.7
02_07_2022,00:02:44,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,244.0,0.0,12.7
02_07_2022,00:02:46,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.9,244.0,0.0,12.7
02_07_2022,00:02:48,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.6,232.0,0.0,12.7
02_07_2022,00:02:50,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.6,232.0,0.0,12.7
02_07_2022,00:02:52,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.6,232.0,0.0,12.7
02_07_2022,00:02:54,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.8,251.0,0.0,12.7
02_07_2022,00:02:56,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.8,251.0,0.0,12.7
02_07_2022,00:02:58,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.5,215.0,0.0,12.7
02_07_2022,00:03:00,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.5,215.0,0.0,12.7
02_07_2022,00:03:02,1014.7,26.1,28.5,26.5,89.0,71.0,0.0,0.0,0.0,0.5,215.0,0.0,12.7
02_07_2022,00:03:04,1014.7,26.1,28.5,26.5,88.0,71.0,0.0,0.0,0.0,0.7,194.0,0.0,12.7
02_07_2022,00:03:06,1014.7,26.1,28.5,26.5,88.0,71.0,0.0,0.0,0.0,0.7,194.0,0.0,12.7
02_07_2022,00:03:08,1014.7,26.1,28.5,26.5,88.0,71.0,0.0,0.0,0.0,0.8,169.0,0.0,12.7
02_07_2022,00:03:10,1014.7,26.1,28.5,26.5,88.0,71.0,0.0,0.0,0.0,0.8,169.0,0.0,12.7
02_07_2022,00:03:12,1014.7,26.1,28.5,26.5,88.0,71.0,0.0,0.0,0.0,0.8,169.0,0.0,12.7
02_07_2022,00:03:14,1014.7,26.1,28.5,26.5,88.0,71.0,0.0,0.0,0.0,0.3,218.0,0.0,12.7
02_07_2022,00:13:39,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.4,340.0,0.0,12.9
02_07_2022,00:13:41,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.4,340.0,0.0,12.9
02_07_2022,00:13:43,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,23.0,0.0,12.9
02_07_2022,00:13:45,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,23.0,0.0,12.9
02_07_2022,00:13:47,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,23.0,0.0,12.9
02_07_2022,00:13:48,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,23.0,0.0,12.9
02_07_2022,00:13:50,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,23.0,0.0,12.9
02_07_2022,00:13:52,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,23.0,0.0,12.9
02_07_2022,00:13:54,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,333.0,0.0,12.9
02_07_2022,00:13:56,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,333.0,0.0,12.9
02_07_2022,00:13:58,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.4,335.0,0.0,12.9
02_07_2022,00:14:00,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.4,335.0,0.0,12.9
02_07_2022,00:14:02,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.4,335.0,0.0,12.9
02_07_2022,00:14:04,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.4,345.0,0.0,12.8
02_07_2022,00:14:06,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.4,345.0,0.0,12.8
02_07_2022,00:14:08,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,6.0,0.0,12.8
02_07_2022,00:14:10,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,6.0,0.0,12.8
02_07_2022,00:14:12,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.3,6.0,0.0,12.8
02_07_2022,00:14:14,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.5,12.0,0.0,12.8
02_07_2022,00:14:16,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.5,12.0,0.0,12.8
02_07_2022,00:14:18,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.5,347.0,0.0,12.8
02_07_2022,00:14:20,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.5,347.0,0.0,12.8
02_07_2022,00:14:22,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.5,347.0,0.0,12.8
02_07_2022,00:14:24,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:26,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:28,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:30,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:32,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:34,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:36,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:38,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:40,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:42,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,13.0,0.0,12.8
02_07_2022,00:14:44,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,296.0,0.0,12.8
02_07_2022,00:14:46,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,296.0,0.0,12.8
02_07_2022,00:14:48,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,296.0,0.0,12.8
02_07_2022,00:14:50,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,296.0,0.0,12.8
02_07_2022,00:14:52,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,0.0,296.0,0.0,12.8
02_07_2022,00:14:54,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.0,185.0,0.0,12.8
02_07_2022,00:14:56,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.0,185.0,0.0,12.8
02_07_2022,00:14:58,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,190.0,0.0,12.8
02_07_2022,00:15:00,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,190.0,0.0,12.8
02_07_2022,00:15:02,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,190.0,0.0,12.8
02_07_2022,00:15:04,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.6,201.0,0.0,12.7
02_07_2022,00:15:06,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.6,201.0,0.0,12.7
02_07_2022,00:15:08,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,179.0,0.0,12.7
02_07_2022,00:15:10,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,179.0,0.0,12.7
02_07_2022,00:15:12,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,179.0,0.0,12.7
02_07_2022,00:15:14,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.9,184.0,0.0,12.7
02_07_2022,00:15:16,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.9,184.0,0.0,12.7
02_07_2022,00:15:18,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.9,165.0,0.0,12.7
02_07_2022,00:15:20,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.9,165.0,0.0,12.7
02_07_2022,00:15:22,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.9,165.0,0.0,12.7
02_07_2022,00:15:24,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.6,155.0,0.0,12.7
02_07_2022,00:15:26,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.6,155.0,0.0,12.7
02_07_2022,00:15:28,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.6,161.0,0.0,12.7
02_07_2022,00:15:30,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.6,161.0,0.0,12.7
02_07_2022,00:15:32,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.6,161.0,0.0,12.7
02_07_2022,00:15:34,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.4,165.0,0.0,12.7
02_07_2022,00:15:36,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.4,165.0,0.0,12.7
02_07_2022,00:15:38,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.7,165.0,0.0,12.7
02_07_2022,00:15:40,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.7,165.0,0.0,12.7
02_07_2022,00:15:42,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.7,165.0,0.0,12.7
02_07_2022,00:15:44,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.8,162.0,0.0,12.7
02_07_2022,00:15:46,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.8,162.0,0.0,12.7
02_07_2022,00:15:48,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,159.0,0.0,12.7
02_07_2022,00:15:50,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,159.0,0.0,12.7
02_07_2022,00:15:52,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.5,159.0,0.0,12.7
02_07_2022,00:15:54,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.8,152.0,0.0,12.7
02_07_2022,00:15:56,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,0.8,152.0,0.0,12.7
02_07_2022,00:15:58,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,1.0,132.0,0.0,12.7
02_07_2022,00:16:00,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,1.0,132.0,0.0,12.7
02_07_2022,00:16:02,1014.6,26.1,28.5,26.4,88.0,72.0,0.0,0.0,0.0,1.0,132.0,0.0,12.7
02_07_2022,00:16:04,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,1.0,124.0,0.0,12.7
02_07_2022,00:16:06,1014.6,26.1,28.5,26.4,87.0,72.0,0.0,0.0,0.0,1.0,124.0,0.0,12.7
