Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
28_07_2022,00:15:58,1014.5,22.8,27.7,23.4,91.0,72.0,0.0,0.0,0.0,1.2,211.0,0.0,12.7
28_07_2022,00:16:01,1014.5,22.8,27.7,23.4,91.0,72.0,0.0,0.0,0.0,1.2,211.0,0.0,12.7
28_07_2022,00:16:49,1014.5,22.8,27.7,23.4,91.0,72.0,0.0,0.0,0.0,1.0,224.0,0.0,12.7
28_07_2022,00:21:59,1014.5,22.8,27.7,23.3,91.0,72.0,0.0,0.0,0.0,1.1,242.0,0.0,12.7
28_07_2022,01:51:20,1014.0,22.3,27.4,22.7,92.0,72.0,0.0,0.0,0.0,0.7,268.0,0.0,12.7
28_07_2022,01:52:20,1013.9,22.2,27.4,22.7,92.0,72.0,0.0,0.0,0.0,1.1,210.0,0.0,12.7
28_07_2022,01:56:29,1013.8,22.2,27.4,22.7,92.0,72.0,0.0,0.0,0.0,0.0,283.0,0.0,12.6
28_07_2022,01:56:32,1013.8,22.2,27.4,22.7,92.0,72.0,0.0,0.0,0.0,0.0,283.0,0.0,12.6
28_07_2022,01:57:21,1013.8,22.2,27.4,22.7,92.0,72.0,0.0,0.0,0.0,0.4,275.0,0.0,12.6
28_07_2022,01:57:28,1013.8,22.2,27.4,22.7,92.0,72.0,0.0,0.0,0.0,0.3,243.0,0.0,12.6
28_07_2022,03:21:41,1013.3,22.1,27.1,22.1,92.0,72.0,0.0,0.0,0.0,1.0,222.0,0.0,12.6
28_07_2022,03:26:41,1013.3,22.0,27.1,22.1,92.0,72.0,0.0,0.0,0.0,2.0,228.0,0.0,12.6
28_07_2022,03:26:44,1013.3,22.0,27.1,22.1,92.0,72.0,0.0,0.0,0.0,2.5,228.0,0.0,12.6
28_07_2022,03:57:12,1013.1,22.1,26.9,22.2,91.0,71.0,0.0,0.0,0.0,1.4,204.0,0.0,12.6
28_07_2022,05:17:14,1013.4,21.8,26.7,21.9,94.0,72.0,0.0,0.0,0.0,1.5,165.0,0.0,12.6
28_07_2022,05:22:16,1013.4,21.8,26.7,21.9,94.0,72.0,0.0,0.0,0.0,0.4,181.0,0.0,12.6
28_07_2022,05:27:24,1013.3,21.8,26.6,21.8,94.0,72.0,0.0,0.0,0.0,0.0,335.0,0.0,12.6
28_07_2022,05:27:27,1013.3,21.8,26.6,21.8,94.0,72.0,0.0,0.0,0.0,0.0,335.0,0.0,12.6
28_07_2022,05:52:55,1013.5,21.7,26.6,21.9,95.0,72.0,14.0,936.0,56.0,0.5,253.0,0.0,12.6
28_07_2022,05:53:55,1013.5,21.7,26.5,21.9,95.0,72.0,15.0,1025.0,62.0,0.0,274.0,0.0,12.6
28_07_2022,05:58:05,1013.6,21.7,26.5,21.9,94.0,72.0,17.0,1429.0,86.0,0.7,205.0,0.0,12.6
28_07_2022,05:58:07,1013.6,21.7,26.5,21.9,94.0,72.0,17.0,1429.0,86.0,1.3,217.0,0.0,12.6
