Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
29_07_2022,12:50:17,1013.1,28.9,28.3,31.3,72.0,67.0,821.0,98259.0,1896.0,1.5,117.0,0.0,13.9
29_07_2022,12:50:21,1013.1,28.9,28.3,31.3,72.0,67.0,821.0,98259.0,1896.0,1.9,163.0,0.0,13.9
29_07_2022,12:50:31,1013.1,28.9,28.3,31.3,72.0,67.0,801.0,99060.0,1944.0,3.1,170.0,0.0,13.9
29_07_2022,12:51:01,1013.1,28.9,28.3,31.3,72.0,67.0,754.0,1349.0,2081.0,2.3,162.0,0.0,13.9
29_07_2022,12:51:31,1013.1,28.9,28.3,31.3,71.0,67.0,773.0,3653.0,2219.0,1.6,140.0,0.0,13.9
29_07_2022,12:52:01,1013.1,29.0,28.3,31.3,71.0,67.0,810.0,6073.0,2364.0,2.5,135.0,0.0,13.9
29_07_2022,12:52:32,1013.1,29.0,28.3,31.3,72.0,67.0,852.0,8571.0,2514.0,2.4,128.0,0.0,13.9
29_07_2022,12:53:02,1013.1,29.1,28.3,31.3,71.0,67.0,875.0,11155.0,2669.0,3.9,127.0,0.0,13.9
29_07_2022,12:53:32,1013.1,29.1,28.3,31.3,72.0,67.0,888.0,13821.0,2829.0,2.5,151.0,0.0,13.9
29_07_2022,12:54:02,1013.1,29.2,28.3,31.3,72.0,67.0,886.0,16483.0,2989.0,1.1,191.0,0.0,13.9
29_07_2022,12:54:32,1013.1,29.3,28.3,31.3,71.0,67.0,876.0,19121.0,3147.0,3.2,185.0,0.0,13.9
29_07_2022,12:55:02,1013.1,29.3,28.3,31.3,70.0,67.0,867.0,21730.0,3304.0,0.7,298.0,0.0,13.9
29_07_2022,12:55:32,1013.1,29.3,28.3,31.3,70.0,67.0,855.0,24311.0,3459.0,6.6,122.0,0.0,13.9
29_07_2022,12:57:17,1013.1,29.0,28.3,31.3,70.0,67.0,642.0,31973.0,3918.0,1.7,203.0,0.0,13.9
29_07_2022,12:57:20,1013.1,29.0,28.3,31.3,70.0,67.0,642.0,31973.0,3918.0,3.0,195.0,0.0,13.9
29_07_2022,12:59:17,1013.1,28.7,28.3,31.3,73.0,67.0,835.0,41659.0,4500.0,2.2,146.0,0.0,14.0
29_07_2022,12:59:20,1013.1,28.7,28.3,31.3,73.0,67.0,835.0,41659.0,4500.0,2.2,63.0,0.0,14.0
29_07_2022,13:01:17,1013.0,28.9,28.4,31.3,72.0,67.0,820.0,51546.0,5093.0,1.4,155.0,0.0,13.9
29_07_2022,13:01:21,1013.0,28.9,28.4,31.3,72.0,67.0,820.0,51546.0,5093.0,3.1,171.0,0.0,13.9
29_07_2022,13:15:29,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,32524.0,1951.0,6.0,155.0,0.0,13.9
29_07_2022,13:15:35,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,33321.0,1999.0,5.0,145.0,0.0,13.9
29_07_2022,13:15:37,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,33321.0,1999.0,5.0,145.0,0.0,13.9
29_07_2022,13:15:39,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,33321.0,1999.0,2.8,156.0,0.0,13.9
29_07_2022,13:15:41,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,33321.0,1999.0,2.8,156.0,0.0,13.9
29_07_2022,13:15:43,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,34116.0,2047.0,3.0,150.0,0.0,13.9
29_07_2022,13:15:45,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,34116.0,2047.0,3.0,150.0,0.0,13.9
29_07_2022,13:15:47,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,34116.0,2047.0,3.0,150.0,0.0,13.9
29_07_2022,13:15:50,1012.7,28.5,28.5,31.1,72.0,68.0,796.0,34116.0,2047.0,3.7,113.0,0.0,13.9
29_07_2022,13:16:29,1012.7,28.4,28.5,31.0,73.0,68.0,795.0,37296.0,2238.0,3.6,123.0,0.0,13.9
29_07_2022,13:17:17,1012.7,28.4,28.5,31.0,73.0,68.0,794.0,41269.0,2476.0,1.3,0.0,0.0,13.9
29_07_2022,13:17:20,1012.7,28.4,28.5,31.0,73.0,68.0,794.0,41269.0,2476.0,1.2,111.0,0.0,13.9
29_07_2022,13:17:29,1012.7,28.4,28.5,31.0,73.0,68.0,793.0,42062.0,2524.0,0.9,145.0,0.0,13.9
29_07_2022,13:18:29,1012.7,28.5,28.5,31.0,74.0,68.0,799.0,46840.0,2810.0,0.0,45.0,0.0,14.1
29_07_2022,13:19:17,1012.6,28.6,28.5,31.0,74.0,68.0,801.0,50842.0,3050.0,1.8,114.0,0.0,13.9
29_07_2022,13:19:20,1012.6,28.6,28.5,31.0,74.0,68.0,801.0,50842.0,3050.0,1.4,144.0,0.0,13.9
29_07_2022,13:19:29,1012.6,28.6,28.5,31.0,74.0,68.0,802.0,51644.0,3099.0,1.5,149.0,0.0,13.9
29_07_2022,13:21:17,1012.7,29.0,28.6,30.9,73.0,68.0,814.0,60528.0,3632.0,2.7,136.0,0.0,13.9
29_07_2022,13:21:25,1012.7,29.0,28.6,30.9,73.0,68.0,816.0,61344.0,3681.0,4.5,144.0,0.0,13.9
29_07_2022,13:23:17,1012.6,28.9,28.6,30.9,72.0,68.0,833.0,70458.0,4227.0,3.9,173.0,0.0,13.9
29_07_2022,13:23:20,1012.6,28.9,28.6,30.9,72.0,68.0,833.0,70458.0,4227.0,3.3,150.0,0.0,13.9
29_07_2022,13:25:17,1012.6,28.6,28.6,30.9,73.0,68.0,692.0,79859.0,4792.0,4.3,171.0,0.0,14.0
29_07_2022,13:25:20,1012.6,28.6,28.6,30.9,73.0,68.0,692.0,79859.0,4792.0,2.7,188.0,0.0,14.0
29_07_2022,13:27:17,1012.6,28.4,28.6,30.9,74.0,68.0,501.0,86765.0,5206.0,3.1,181.0,0.0,14.0
29_07_2022,13:27:20,1012.6,28.4,28.6,30.9,74.0,68.0,501.0,86765.0,5206.0,4.8,110.0,0.0,14.0
29_07_2022,13:29:17,1012.6,28.2,28.6,30.9,75.0,68.0,313.0,91750.0,5505.0,1.4,166.0,0.0,14.0
29_07_2022,13:29:20,1012.6,28.2,28.6,30.9,75.0,68.0,313.0,91750.0,5505.0,1.6,149.0,0.0,14.0
29_07_2022,13:31:17,1012.5,28.1,28.7,30.8,74.0,69.0,295.0,95308.0,5718.0,3.5,146.0,0.0,14.0
29_07_2022,13:31:25,1012.5,28.1,28.7,30.8,74.0,69.0,304.0,95612.0,5737.0,2.1,168.0,0.0,14.0
29_07_2022,13:33:17,1012.4,28.0,28.7,30.7,75.0,69.0,320.0,99154.0,5949.0,2.0,114.0,0.0,13.9
29_07_2022,13:33:20,1012.4,28.0,28.7,30.7,75.0,69.0,320.0,99154.0,5949.0,1.5,134.0,0.0,13.9
29_07_2022,13:35:17,1012.4,28.0,28.7,30.6,75.0,69.0,317.0,3179.0,6191.0,2.3,115.0,0.0,14.0
29_07_2022,13:35:20,1012.4,28.0,28.7,30.6,75.0,69.0,317.0,3179.0,6191.0,2.3,154.0,0.0,14.0
