Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
29_06_2022,15:31:29,1013.2,22.8,26.0,23.4,96.0,72.0,44.0,6000.0,360.0,2.1,258.0,0.6,12.5
29_06_2022,15:31:35,1013.2,22.8,26.0,23.4,96.0,72.0,44.0,6000.0,360.0,0.6,214.0,0.6,12.5
29_06_2022,15:31:44,1013.2,22.8,26.0,23.4,96.0,72.0,44.0,6044.0,363.0,0.4,238.0,0.6,12.5
29_06_2022,15:31:49,1013.2,22.8,26.0,23.4,96.0,72.0,43.0,6087.0,365.0,1.0,211.0,0.6,12.5
29_06_2022,15:31:54,1013.2,22.8,26.0,23.4,96.0,72.0,43.0,6087.0,365.0,1.4,204.0,0.6,12.5
29_06_2022,15:31:59,1013.2,22.8,26.0,23.4,96.0,72.0,43.0,6131.0,368.0,0.7,227.0,0.6,12.5
29_06_2022,15:32:06,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6174.0,370.0,1.1,246.0,0.6,12.5
29_06_2022,15:32:12,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6174.0,370.0,0.8,301.0,0.6,12.5
29_06_2022,15:32:14,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6174.0,370.0,0.8,301.0,0.6,12.5
29_06_2022,15:32:21,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6218.0,373.0,0.8,217.0,0.6,12.5
29_06_2022,15:32:26,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6261.0,376.0,0.7,243.0,0.6,12.5
29_06_2022,15:32:36,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6304.0,378.0,2.8,305.0,0.6,12.5
29_06_2022,15:32:40,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6304.0,378.0,1.4,193.0,0.6,12.5
29_06_2022,15:32:46,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6347.0,381.0,1.9,207.0,0.6,12.5
29_06_2022,15:32:51,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6347.0,381.0,2.1,213.0,0.6,12.5
29_06_2022,15:32:59,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6390.0,383.0,1.7,215.0,0.6,12.5
29_06_2022,15:33:11,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6434.0,386.0,0.9,182.0,0.6,12.5
29_06_2022,15:33:21,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6477.0,389.0,0.0,318.0,0.6,12.5
29_06_2022,15:33:32,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6520.0,391.0,0.5,231.0,0.6,12.5
29_06_2022,15:33:41,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6562.0,394.0,1.1,233.0,0.6,12.5
29_06_2022,15:33:53,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6605.0,396.0,3.4,227.0,0.6,12.5
29_06_2022,15:34:02,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6648.0,399.0,0.8,210.0,0.6,12.5
29_06_2022,15:34:11,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6691.0,401.0,1.0,237.0,0.6,12.5
29_06_2022,15:34:22,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6733.0,404.0,1.0,243.0,0.6,12.5
29_06_2022,15:34:32,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6776.0,407.0,1.7,213.0,0.6,12.5
29_06_2022,15:34:44,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6819.0,409.0,3.8,248.0,0.6,12.5
29_06_2022,15:34:53,1013.2,22.8,26.0,23.5,96.0,72.0,43.0,6861.0,412.0,1.1,287.0,0.6,12.5
29_06_2022,15:35:05,1013.2,22.8,26.0,23.5,96.0,72.0,42.0,6904.0,414.0,1.8,239.0,0.6,12.5
29_06_2022,15:35:15,1013.2,22.8,26.0,23.5,96.0,72.0,42.0,6988.0,419.0,0.4,251.0,0.6,12.5
29_06_2022,15:35:27,1013.2,22.7,26.0,23.5,96.0,72.0,42.0,7030.0,422.0,0.9,330.0,0.6,12.5
29_06_2022,15:35:38,1013.2,22.7,26.0,23.5,96.0,72.0,42.0,7073.0,424.0,0.5,245.0,0.6,12.5
29_06_2022,15:35:50,1013.2,22.7,26.0,23.5,96.0,72.0,42.0,7115.0,427.0,1.2,297.0,0.6,12.5
29_06_2022,15:36:01,1013.2,22.7,26.0,23.5,96.0,72.0,42.0,7157.0,429.0,1.4,254.0,0.6,12.5
29_06_2022,15:36:12,1013.2,22.7,26.0,23.5,96.0,72.0,42.0,7199.0,432.0,4.1,202.0,0.6,12.5
29_06_2022,15:36:23,1013.2,22.7,26.0,23.5,96.0,72.0,42.0,7241.0,434.0,0.7,253.0,0.6,12.5
