Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
10_07_2022,00:00:31,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,3.0,130.0,0.0,12.7
10_07_2022,00:00:34,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,4.5,139.0,0.0,12.7
10_07_2022,00:00:37,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,4.5,139.0,0.0,12.7
10_07_2022,00:00:39,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,3.8,129.0,0.0,12.7
10_07_2022,00:00:42,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,3.8,129.0,0.0,12.7
10_07_2022,00:00:44,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,3.6,125.0,0.0,12.7
10_07_2022,00:00:47,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,3.6,125.0,0.0,12.7
10_07_2022,00:00:50,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,3.4,125.0,0.0,12.7
10_07_2022,00:00:52,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,3.4,125.0,0.0,12.7
10_07_2022,00:00:55,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,1.7,112.0,0.0,12.7
10_07_2022,00:00:58,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,1.7,112.0,0.0,12.7
10_07_2022,00:01:00,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,1.9,141.0,0.0,12.7
10_07_2022,00:01:02,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,1.9,141.0,0.0,12.7
10_07_2022,00:01:04,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,1.6,178.0,0.0,12.7
10_07_2022,00:01:06,1014.9,25.8,27.1,26.0,78.0,73.0,0.0,0.0,0.0,1.6,178.0,0.0,12.7
