Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
26_07_2022,11:42:49,1014.2,28.2,26.6,30.2,60.0,67.0,915.0,91516.0,1491.0,4.0,160.0,0.0,14.1
26_07_2022,11:42:52,1014.2,28.2,26.6,30.2,60.0,67.0,915.0,92431.0,1546.0,6.1,162.0,0.0,14.1
26_07_2022,11:42:54,1014.2,28.2,26.6,30.2,60.0,67.0,915.0,92431.0,1546.0,6.1,162.0,0.0,14.1
26_07_2022,11:42:57,1014.2,28.2,26.6,30.2,60.0,67.0,915.0,92431.0,1546.0,5.2,165.0,0.0,14.1
26_07_2022,11:43:24,1014.2,28.2,26.6,30.2,59.0,67.0,918.0,95183.0,1711.0,2.5,135.0,0.0,14.1
26_07_2022,11:43:54,1014.2,28.1,26.6,30.2,60.0,67.0,918.0,97938.0,1876.0,5.2,190.0,0.0,14.1
26_07_2022,11:44:24,1014.2,28.1,26.6,30.3,60.0,67.0,918.0,692.0,2042.0,3.6,162.0,0.0,14.1
26_07_2022,11:44:53,1014.2,28.1,26.6,30.3,60.0,67.0,921.0,3452.0,2207.0,2.8,163.0,0.0,14.1
26_07_2022,11:45:23,1014.2,28.1,26.6,30.3,60.0,67.0,923.0,6219.0,2373.0,3.6,177.0,0.0,14.1
26_07_2022,11:45:53,1014.2,28.1,26.6,30.2,59.0,67.0,922.0,8986.0,2539.0,1.9,130.0,0.0,14.1
26_07_2022,11:46:23,1014.1,28.2,26.6,30.2,60.0,67.0,919.0,11746.0,2705.0,2.3,174.0,0.0,14.0
26_07_2022,11:46:53,1014.1,28.2,26.6,30.2,60.0,67.0,915.0,14495.0,2870.0,2.8,178.0,0.0,14.0
26_07_2022,11:47:23,1014.2,28.2,26.6,30.2,60.0,67.0,912.0,17233.0,3034.0,2.8,145.0,0.0,13.9
26_07_2022,11:47:53,1014.2,28.2,26.6,30.2,60.0,67.0,910.0,19965.0,3198.0,1.3,207.0,0.0,13.9
26_07_2022,11:48:23,1014.1,28.3,26.6,30.2,60.0,67.0,909.0,22692.0,3362.0,3.4,160.0,0.0,13.9
26_07_2022,11:48:53,1014.1,28.3,26.6,30.2,60.0,67.0,909.0,25418.0,3525.0,3.6,123.0,0.0,13.9
26_07_2022,11:49:23,1014.1,28.3,26.6,30.2,61.0,67.0,910.0,28147.0,3689.0,0.6,117.0,0.0,14.1
26_07_2022,11:49:53,1014.1,28.4,26.6,30.2,61.0,67.0,908.0,30874.0,3852.0,2.5,153.0,0.0,14.1
26_07_2022,11:50:23,1014.1,28.4,26.6,30.2,61.0,67.0,908.0,33598.0,4016.0,4.6,137.0,0.0,14.1
26_07_2022,11:50:53,1014.1,28.4,26.7,30.2,60.0,67.0,908.0,36323.0,4179.0,1.1,207.0,0.0,14.1
26_07_2022,11:51:23,1014.1,28.5,26.7,30.2,60.0,67.0,908.0,39046.0,4343.0,0.5,190.0,0.0,14.0
26_07_2022,11:51:53,1014.1,28.5,26.7,30.3,60.0,67.0,907.0,41768.0,4506.0,5.0,183.0,0.0,14.0
26_07_2022,11:52:23,1014.1,28.5,26.7,30.3,61.0,67.0,906.0,44486.0,4669.0,3.8,197.0,0.0,14.1
26_07_2022,11:52:53,1014.1,28.5,26.7,30.3,61.0,67.0,904.0,47200.0,4832.0,1.0,192.0,0.0,14.1
