Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
04_07_2022,00:17:17,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,243.0,0.0,12.4
04_07_2022,00:17:19,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.0,165.0,0.0,12.4
04_07_2022,00:17:21,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.0,165.0,0.0,12.4
04_07_2022,00:17:23,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.0,165.0,0.0,12.4
04_07_2022,00:17:25,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.8,137.0,0.0,12.4
04_07_2022,00:17:27,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.8,137.0,0.0,12.4
04_07_2022,00:17:29,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.9,141.0,0.0,12.4
04_07_2022,00:17:31,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.9,141.0,0.0,12.4
04_07_2022,00:17:33,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.9,141.0,0.0,12.4
04_07_2022,00:17:35,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.4,97.0,0.0,12.4
04_07_2022,00:17:37,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.4,97.0,0.0,12.4
04_07_2022,00:17:39,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.5,98.0,0.0,12.4
04_07_2022,00:17:41,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.5,98.0,0.0,12.4
04_07_2022,00:17:43,1016.3,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.5,98.0,0.0,12.4
04_07_2022,00:17:45,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.7,100.0,0.0,12.4
04_07_2022,00:17:47,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.7,100.0,0.0,12.4
04_07_2022,00:17:49,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.6,353.0,0.0,12.4
04_07_2022,00:17:51,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.6,353.0,0.0,12.4
04_07_2022,00:17:53,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.6,353.0,0.0,12.4
04_07_2022,00:17:55,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,69.0,0.0,12.4
04_07_2022,00:17:57,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,69.0,0.0,12.4
04_07_2022,00:17:59,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,3.4,89.0,0.0,12.4
04_07_2022,00:18:01,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,3.4,89.0,0.0,12.4
04_07_2022,00:18:03,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,3.4,89.0,0.0,12.4
04_07_2022,00:18:05,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.1,89.0,0.0,12.4
04_07_2022,00:18:07,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.1,89.0,0.0,12.4
04_07_2022,00:18:09,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.6,43.0,0.0,12.4
04_07_2022,00:18:12,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.6,43.0,0.0,12.4
04_07_2022,00:18:14,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.6,124.0,0.0,12.4
04_07_2022,00:18:16,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.6,124.0,0.0,12.4
04_07_2022,00:18:18,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.6,124.0,0.0,12.4
04_07_2022,00:18:19,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,108.0,0.0,12.4
04_07_2022,00:18:21,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,108.0,0.0,12.4
04_07_2022,00:18:23,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,108.0,0.0,12.4
04_07_2022,00:18:25,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.8,132.0,0.0,12.4
04_07_2022,00:18:27,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.8,132.0,0.0,12.4
04_07_2022,00:18:29,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.5,137.0,0.0,12.4
04_07_2022,00:18:31,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.5,137.0,0.0,12.4
04_07_2022,00:18:33,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.5,137.0,0.0,12.4
04_07_2022,00:18:35,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.0,102.0,0.0,12.4
04_07_2022,00:18:37,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.0,102.0,0.0,12.4
04_07_2022,00:18:39,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,315.0,0.0,12.4
04_07_2022,00:18:41,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,315.0,0.0,12.4
04_07_2022,00:18:43,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,315.0,0.0,12.4
04_07_2022,00:18:45,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.5,115.0,0.0,12.4
04_07_2022,00:18:47,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.5,115.0,0.0,12.4
04_07_2022,00:18:49,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.3,103.0,0.0,12.4
04_07_2022,00:18:51,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.3,103.0,0.0,12.4
04_07_2022,00:18:53,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.3,103.0,0.0,12.4
04_07_2022,00:18:55,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.5,120.0,0.0,12.4
04_07_2022,00:18:57,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.5,120.0,0.0,12.4
04_07_2022,00:18:59,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.5,205.0,0.0,12.4
04_07_2022,00:19:01,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.5,205.0,0.0,12.4
04_07_2022,00:19:03,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.5,205.0,0.0,12.4
04_07_2022,00:19:05,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,149.0,0.0,12.4
04_07_2022,00:19:07,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,149.0,0.0,12.4
04_07_2022,00:19:09,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.6,159.0,0.0,12.4
04_07_2022,00:19:11,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.6,159.0,0.0,12.4
04_07_2022,00:19:13,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,0.6,159.0,0.0,12.4
04_07_2022,00:19:15,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,126.0,0.0,12.4
04_07_2022,00:19:17,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,126.0,0.0,12.4
04_07_2022,00:19:19,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,69.0,0.0,12.4
04_07_2022,00:19:21,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,69.0,0.0,12.4
04_07_2022,00:19:23,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.0,69.0,0.0,12.4
04_07_2022,00:19:25,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.2,95.0,0.0,12.4
04_07_2022,00:19:27,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.2,95.0,0.0,12.4
04_07_2022,00:19:29,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,94.0,0.0,12.4
04_07_2022,00:19:31,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,94.0,0.0,12.4
04_07_2022,00:19:33,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,94.0,0.0,12.4
04_07_2022,00:19:35,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,3.0,65.0,0.0,12.4
04_07_2022,00:19:37,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,3.0,65.0,0.0,12.4
04_07_2022,00:19:39,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.1,77.0,0.0,12.4
04_07_2022,00:19:41,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.1,77.0,0.0,12.4
04_07_2022,00:19:43,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.1,77.0,0.0,12.4
04_07_2022,00:19:45,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.5,105.0,0.0,12.4
04_07_2022,00:19:47,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,2.5,105.0,0.0,12.4
04_07_2022,00:19:49,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,89.0,0.0,12.4
04_07_2022,00:19:51,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,89.0,0.0,12.4
04_07_2022,00:19:53,1016.2,23.8,25.1,24.1,94.0,75.0,0.0,2.0,0.0,1.9,89.0,0.0,12.4
04_07_2022,00:19:55,1016.2,23.8,25.1,24.0,94.0,75.0,0.0,2.0,0.0,0.7,70.0,0.0,12.4
04_07_2022,00:19:57,1016.2,23.8,25.1,24.0,94.0,75.0,0.0,2.0,0.0,0.7,70.0,0.0,12.4
04_07_2022,00:19:59,1016.2,23.8,25.1,24.0,94.0,75.0,0.0,2.0,0.0,0.0,305.0,0.0,12.4
04_07_2022,00:20:01,1016.2,23.8,25.1,24.0,94.0,75.0,0.0,2.0,0.0,0.0,305.0,0.0,12.4
04_07_2022,00:20:04,1016.2,23.8,25.1,24.0,94.0,75.0,0.0,2.0,0.0,2.9,118.0,0.0,12.4
04_07_2022,00:20:07,1016.2,23.8,25.1,24.0,94.0,75.0,0.0,2.0,0.0,2.9,118.0,0.0,12.4
