Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
30_06_2022,15:02:09,1012.3,27.5,27.4,29.4,77.0,72.0,361.0,23552.0,7413.0,2.9,129.0,0.0,13.3
30_06_2022,15:02:39,1012.3,27.5,27.4,29.3,77.0,72.0,323.0,24573.0,7474.0,1.9,78.0,0.0,13.3
30_06_2022,15:03:09,1012.3,27.6,27.4,29.3,77.0,72.0,289.0,25457.0,7527.0,4.3,151.0,0.0,13.2
30_06_2022,15:14:50,1012.3,27.6,27.4,29.2,76.0,72.0,170.0,11946.0,717.0,4.2,171.0,0.0,13.2
30_06_2022,15:14:52,1012.3,27.6,27.4,29.2,76.0,72.0,170.0,11946.0,717.0,4.2,171.0,0.0,13.2
30_06_2022,15:14:54,1012.3,27.5,27.4,29.2,76.0,72.0,162.0,12109.0,727.0,3.9,187.0,0.0,13.2
30_06_2022,15:14:56,1012.3,27.5,27.4,29.2,76.0,72.0,162.0,12109.0,727.0,3.9,187.0,0.0,13.2
30_06_2022,15:14:58,1012.3,27.5,27.4,29.2,76.0,72.0,162.0,12109.0,727.0,3.9,187.0,0.0,13.2
30_06_2022,15:15:00,1012.3,27.5,27.4,29.2,76.0,72.0,162.0,12109.0,727.0,1.1,165.0,0.0,13.2
30_06_2022,15:15:02,1012.3,27.5,27.4,29.2,76.0,72.0,162.0,12109.0,727.0,1.1,165.0,0.0,13.2
30_06_2022,15:15:04,1012.3,27.5,27.5,29.2,76.0,72.0,158.0,12267.0,736.0,2.6,187.0,0.0,13.1
30_06_2022,15:15:06,1012.3,27.5,27.5,29.2,76.0,72.0,158.0,12267.0,736.0,2.6,187.0,0.0,13.1
30_06_2022,15:15:08,1012.3,27.5,27.5,29.2,76.0,72.0,158.0,12267.0,736.0,2.6,187.0,0.0,13.1
30_06_2022,15:15:10,1012.3,27.5,27.5,29.2,76.0,72.0,158.0,12267.0,736.0,2.1,152.0,0.0,13.1
30_06_2022,15:15:12,1012.3,27.5,27.5,29.2,76.0,72.0,158.0,12267.0,736.0,2.1,152.0,0.0,13.1
30_06_2022,15:15:14,1012.3,27.5,27.5,29.2,76.0,72.0,158.0,12267.0,736.0,2.1,152.0,0.0,13.1
30_06_2022,15:15:15,1012.3,27.5,27.5,29.2,76.0,72.0,154.0,12421.0,745.0,2.1,140.0,0.0,13.1
30_06_2022,15:15:17,1012.3,27.5,27.5,29.2,76.0,72.0,154.0,12421.0,745.0,2.1,140.0,0.0,13.1
30_06_2022,15:15:19,1012.3,27.5,27.5,29.2,76.0,72.0,154.0,12421.0,745.0,2.5,156.0,0.0,13.1
30_06_2022,15:15:21,1012.3,27.5,27.5,29.2,76.0,72.0,154.0,12421.0,745.0,2.5,156.0,0.0,13.1
30_06_2022,15:15:23,1012.3,27.5,27.5,29.2,76.0,72.0,154.0,12421.0,745.0,2.5,156.0,0.0,13.1
30_06_2022,15:15:25,1012.3,27.5,27.5,29.2,76.0,72.0,150.0,12571.0,754.0,2.6,133.0,0.0,13.1
