Data,Hora,Press Atm,Temp1,Temp2,Temp Int,Umidade Ar,Umidade Ar Int,Rad Solar W/m2,Rad Total Solar W/m2,Rad Total Solar KJ/m2,Velocidade Vento,Direção Vento,Precipitação,Tensão Sistema
19_07_2022,12:43:25,1014.2,27.5,27.0,29.3,72.0,72.0,656.0,24636.0,7478.0,2.0,184.0,0.0,13.7
19_07_2022,12:43:40,1014.2,27.5,27.0,29.3,71.0,72.0,644.0,25917.0,7555.0,5.2,110.0,0.0,13.7
19_07_2022,12:44:10,1014.2,27.6,27.0,29.3,71.0,72.0,556.0,27725.0,7664.0,5.5,115.0,0.0,13.7
19_07_2022,12:44:40,1014.3,27.6,27.0,29.3,71.0,72.0,365.0,28961.0,7738.0,4.1,128.0,0.0,13.7
19_07_2022,12:45:10,1014.3,27.6,27.0,29.3,71.0,72.0,341.0,29996.0,7800.0,6.9,129.0,0.0,13.5
19_07_2022,12:45:40,1014.2,27.5,27.0,29.3,72.0,72.0,335.0,31003.0,7860.0,4.5,147.0,0.0,13.5
19_07_2022,12:46:10,1014.2,27.4,27.0,29.3,73.0,72.0,405.0,32095.0,7926.0,6.6,171.0,0.0,13.5
19_07_2022,12:46:40,1014.2,27.3,27.0,29.3,74.0,72.0,493.0,33535.0,8012.0,4.5,150.0,0.0,13.5
19_07_2022,12:47:10,1014.2,27.1,27.0,29.3,75.0,72.0,388.0,34867.0,8092.0,2.6,113.0,0.0,13.5
19_07_2022,12:47:40,1014.2,27.0,27.0,29.3,76.0,72.0,255.0,35716.0,8143.0,6.0,154.0,0.0,13.5
19_07_2022,12:48:10,1014.2,26.9,27.0,29.2,76.0,72.0,230.0,36427.0,8186.0,3.2,151.0,0.0,13.4
19_07_2022,12:48:41,1014.2,26.8,27.0,29.2,75.0,72.0,217.0,37090.0,8225.0,3.7,167.0,0.0,13.4
19_07_2022,12:49:11,1014.2,26.7,27.0,29.2,76.0,72.0,209.0,37729.0,8264.0,1.0,176.0,0.0,13.4
19_07_2022,12:49:41,1014.2,26.6,27.0,29.1,77.0,72.0,194.0,38327.0,8300.0,2.9,207.0,0.0,13.4
19_07_2022,12:50:11,1014.2,26.6,27.0,29.1,78.0,72.0,174.0,38866.0,8332.0,4.6,178.0,0.0,13.3
19_07_2022,12:50:41,1014.2,26.5,27.0,29.0,77.0,72.0,157.0,39355.0,8361.0,4.2,195.0,0.0,13.3
19_07_2022,12:51:11,1014.2,26.5,27.0,29.0,77.0,72.0,142.0,39796.0,8388.0,1.7,143.0,0.0,13.3
19_07_2022,12:51:41,1014.1,26.5,27.0,29.0,77.0,72.0,135.0,40205.0,8412.0,4.3,182.0,0.0,13.3
19_07_2022,12:52:11,1014.1,26.5,27.0,28.9,77.0,72.0,331.0,40886.0,8453.0,1.7,110.0,0.0,13.3
19_07_2022,12:52:41,1014.1,26.4,27.0,28.9,77.0,72.0,693.0,42607.0,8556.0,4.4,160.0,0.0,13.3
19_07_2022,12:53:11,1014.1,26.4,27.0,28.8,76.0,72.0,840.0,45080.0,8705.0,4.7,99.0,0.0,13.9
19_07_2022,12:53:41,1014.1,26.5,27.0,28.8,76.0,72.0,833.0,47582.0,8855.0,4.1,139.0,0.0,13.9
19_07_2022,12:54:11,1014.1,26.5,27.1,28.7,76.0,72.0,848.0,50124.0,9007.0,4.1,113.0,0.0,14.1
19_07_2022,12:54:41,1014.1,26.6,27.1,28.7,75.0,72.0,854.0,52677.0,9161.0,6.7,138.0,0.0,14.1
19_07_2022,12:55:10,1014.1,26.7,27.1,28.7,74.0,72.0,860.0,55253.0,9315.0,3.0,104.0,0.0,14.1
